iter	Logloss
0	0.3971605207
1	0.2149517823
2	0.114963636
3	0.06226647701
4	0.03605970883
5	0.02222884316
6	0.01492529495
7	0.0107146943
8	0.008012017851
9	0.006393214881
10	0.005239070197
11	0.00454001227
12	0.004081737169
13	0.003716398056
14	0.003425272684
15	0.003183303265
16	0.003035072271
17	0.002910691496
18	0.00281691883
19	0.002711673327
20	0.002650415402
21	0.002603964656
22	0.002564418022
23	0.002521779606
24	0.002492631422
25	0.002457945172
26	0.002417723927
27	0.002397329702
28	0.002373352075
29	0.002339456112
30	0.002328512955
31	0.002316879695
32	0.002297919684
33	0.002277263488
34	0.002267139715
35	0.002254784123
36	0.002248281565
37	0.002224440552
38	0.002198528971
39	0.002163300036
40	0.002134218143
41	0.002103519314
42	0.002085049999
43	0.002070525956
44	0.002062222491
45	0.002044641256
46	0.002019779076
47	0.00199784787
48	0.001987056704
49	0.001972189427
50	0.001956003035
51	0.001938562521
52	0.001931389144
53	0.001923553917
54	0.001913808664
55	0.001911590628
56	0.001905382676
57	0.001898525225
58	0.001889317825
59	0.001869966216
60	0.001861498508
61	0.001854545308
62	0.001842743145
63	0.001836927551
64	0.001830173257
65	0.001823902734
66	0.001801666102
67	0.001789169457
68	0.001781064122
69	0.001775732409
70	0.001769278407
71	0.001758432339
72	0.00175038858
73	0.001742573717
74	0.001735071489
75	0.001726413634
76	0.001723286984
77	0.001712553546
78	0.001704343125
79	0.001690900959
80	0.00167643764
81	0.001661413436
82	0.001649206486
83	0.001633382235
84	0.00162889482
85	0.001624409284
86	0.001611412273
87	0.001601750582
88	0.001595131068
89	0.001590419843
90	0.001585560211
91	0.001575404435
92	0.001567037426
93	0.001559712117
94	0.001557377852
95	0.001551291434
96	0.001544553341
97	0.001524739971
98	0.001519138492
99	0.001514944535
100	0.001505182706
101	0.001498282251
102	0.001496024037
103	0.001491298114
104	0.001481435842
105	0.001471816372
106	0.001467719543
107	0.001452702143
108	0.001448337552
109	0.001442187802
110	0.00144008915
111	0.001432996493
112	0.001428075542
113	0.001425054912
114	0.001414717952
115	0.001412984652
116	0.001411315599
117	0.001408615636
118	0.001403725662
119	0.001402501238
120	0.001400092609
121	0.001393565677
122	0.001391642354
123	0.001380029708
124	0.001376256792
125	0.001364315883
126	0.001362074087
127	0.001359022783
128	0.00135367018
129	0.001350918062
130	0.001346532154
131	0.001341487092
132	0.001333942712
133	0.001330780969
134	0.001329926126
135	0.00132777795
136	0.001322961228
137	0.001321362666
